chrom	w_start	w_end	symbol
chr1	84609389	85656144	SSX2IP
chr17	61973902	62993172	POLG2
chr2	112533174	113597636	ZC3H6
chr9	37279711	38285089	EXOSC3
chr10	352854	1477645	LARP4B
chr12	112356751	113447722	PTPN11
chr2	71058912	72162191	ZNF638
chr18	12161955	13202776	CEP76
chr2	202064990	203145656	ALS2
chr9	139185796	140187769	TMEM141
chr17	4612215	5638155	SCIMP
chr10	102290991	103300998	SFXN3
chr10	89533619	90843075	RNLS
chr7	149764478	150771041	GIMAP4
chr12	91034261	92076594	DCN
chr3	185763856	186788332	TBCCD1
chr2	85311554	86320529	VAMP5
chr14	91237667	92384164	CCDC88C
chr7	101574022	102597272	ORAI2
chr1	234240015	235245924	IRF2BP2
chr1	112999037	114006694	SLC16A1-AS1
chr7	151956837	153052463	ACTR3B
chr4	2439663	3465133	NOP14
chr19	45088587	46093649	GEMIN7-AS1
chr22	29155841	30164152	RHBDD3
chr9	131298905	132334361	MIGA2
chr5	64385517	65420160	TRIM23
chr16	66495169	67509052	CES3
chr10	76085013	77292382	KAT6B
chr20	44189630	45218601	NCOA5
chr11	5969843	6995689	TRIM3
chr19	0	844796	MIER2
chr14	88529381	89593940	ZC3H14
chr1	43355570	44419918	SZT2
chr6	27817724	28836949	ZKSCAN3
chr7	75739303	76756596	POMZP3
chr9	116873571	117908702	TMEM268
chr19	14990861	16029799	AKAP8L
chr1	42698764	43705907	CLDN19
chr14	61662231	62714976	HIF1A
chr3	42477878	43484284	KRBOX1
chr5	144992597	146062213	LARS1
chr16	74532922	75644892	ZNRF1
chr3	45136243	46227833	LIMD1
chr17	28075221	29118962	BLMH
chr16	28389809	29415787	ATP2A1
chr1	85615100	86674116	ZNHIT6
chr1	113739453	114802510	PHTF1
chr1	54681534	55708330	TTC4
chr12	56531959	57539768	ATP5F1B
chr19	47259782	48275210	CCDC9
chr14	52673918	53695308	PSMC6
chr17	7575775	8579698	TMEM107
chr6	41389237	42400784	BYSL
chr7	104745219	106017045	ATXN7L1
chr19	15678348	16713812	TPM4
chr5	70251478	71363647	BDP1
chr19	540106	1565571	ABCA7
chr12	57662254	58665888	METTL1
chr12	111869086	112951023	TMEM116
chr1	25068740	26164745	RSRP1
chr1	217100334	218304432	GPATCH2
chr16	8389037	9391496	TMEM186
chr19	18787715	19802961	BORCS8
chr2	191394302	192516322	STAT4
chr4	184060788	185080338	RWDD4
chr12	98628564	100878714	ANKS1B
chr10	115690869	117028063	ABLIM1
chr2	207945359	208990777	METTL21A
chr17	79148195	80150827	ARL16
chr16	66041906	67084194	TK2
chr2	159675490	161068953	BAZ2B
chr11	116206467	117208666	APOA1
chr14	81141796	82187734	GTF2A1
chr12	51138342	52164199	SMAGP
chr1	760182	1764276	CPTP
chr4	3005339	4034149	LRPAP1
chr10	69056427	70097946	DNAJC12
chr14	64671142	65716967	PLEKHG3
chr19	48715982	49722982	MAMSTR
chr6	42481987	43489032	KLHDC3
chr5	90164448	91179134	ARRDC3
chr3	65929221	67051545	LRIG1
chr7	142460534	143466208	GSTK1
chr3	128128716	129222845	CFAP92
chr14	24368209	25388489	NYNRIN
chr16	56191871	57193215	MT1F
chr22	45981877	47009808	MIRLET7BHG
chr11	58438903	59476061	DTX4
chr5	140198057	141200351	TAF7
chr7	98988026	100017153	TRIM4
chr19	39436222	40467310	SUPT5H
chr6	158955513	159966023	TAGAP
chr20	44813004	45818083	TP53RK
chr17	18184496	19210027	TVP23B
chr1	155367599	156381140	RIT1
chr10	79293621	80316564	RPS24
chr17	3567115	4667274	ANKFY1
chr19	49449555	50455071	PIH1D1
chr1	42421778	43622861	CCDC30
chr2	70836817	71857359	MCEE
chr18	23213833	24273319	PSMA8
chr18	33188494	34209303	SLC39A6
chr3	9475518	10487090	CRELD1
chr2	169940861	170997916	PPIG
chr9	96521580	97564111	ZNF169
chr17	36526311	37578023	LASP1
chr3	9504366	10552802	EMC3
chr2	31788625	32882706	SPAST
chr17	17246825	18375714	TOM1L2
chr3	159474774	160617013	IFT80
chr16	15826385	16888668	NOMO3
chr19	49117627	50121717	LIN7B
chr2	113493104	114524600	PAX8-AS1
chr1	248644207	249653284	ZNF692
chr3	48009275	49042243	SHISA5
chr16	23190210	24201688	PLK1
chr1	26106577	27108013	SH3BGRL3
chr2	97772402	98780507	ACTR1B
chr7	39106003	40151688	YAE1
chr19	48968566	49970136	FTL
chr20	34133540	35138882	NORAD
chr2	28820592	29906674	CLIP4
chr2	55014978	56146992	CCDC88A
chr1	20478270	21487862	DDOST
chr1	32645507	33668371	SYNC
chr19	38869195	39890258	SIRT2
chr12	123696900	124746302	ATP6V0A2
chr17	7562465	8566266	VAMP2
chr20	44027259	45040794	PLTP
chr4	140137907	141575338	MAML3
chr1	42422012	43439088	PPCS
chr1	89071815	90091797	GBP2
chr5	64940128	65979443	SREK1
chr13	102749336	103832308	TPP2
chr1	159758384	160813040	COPA
chr2	112312846	113376891	TMEM87B
chr16	2993611	4036963	NAA60
chr16	1597986	2639492	TSC2
chr2	173440574	174632743	MAP3K20
chr8	98288016	99365241	LAPTM4B
chr3	121054056	122105373	EAF2
chr15	55147437	56200557	CCPG1
chr20	34780174	35874493	NDRG3
chr17	77694226	78727299	SLC26A11
chr21	45805868	46848730	ITGB2
chr21	45219936	46247256	PFKL
chr2	149926151	150944289	MMADHC
chr14	73204214	74241331	PAPLN
chr19	3590319	4624119	MAP2K2
chr3	47764985	48766975	CAMP
chr16	0	902723	AXIN1
chr6	27277829	28278314	H3C10
chr13	32474860	33502267	N4BP2L1
chr2	87254946	88321037	CYTOR
chr14	21736793	22737320	TRAV6
chr11	66671384	67677561	TBC1D10C
chr3	142484064	144067310	SLC9A9
chr16	2302639	3321413	SRRM2
chr19	367963	1393187	MED16
chr14	92670154	93714972	LGMN
chr12	56232668	57234194	IL23A
chr6	83403076	84408654	RWDD2A
chr16	56996591	58005921	POLR2C
chr1	89960669	91001092	ZNF326
chr3	37680152	38684513	MYD88
chr2	3122850	4128510	RPS7
chr19	9252483	10285776	ZNF562
chr16	83711461	84720663	TAF1C
chr3	97040855	98163828	CRYBG3
chr9	139119046	140122636	SNHG7
chr15	75635788	76693419	UBE2Q2
chr19	42391171	43394449	CNFN
chr15	74994223	76004510	C15orf39
chr1	92045902	93150280	BTBD8
chr19	48633287	49640636	DBP
chr11	22144079	23147369	FANCF
chr7	72216513	73222823	NSUN5
chr10	81338421	82352307	TMEM254
chr14	103663954	104681788	XRCC3
chr19	49477472	50489488	FLT3LG
chr2	173719600	174733725	CDCA7
chr12	120472159	121515391	RNF10
chr16	3512654	4666443	ADCY9
chr5	175273064	176288810	KIAA1191
chr12	82246082	83252584	CCDC59
chr10	5686884	6796611	PFKFB3
chr6	157744278	158866109	SNX9
chr17	44086045	45157088	ARL17A
chr12	108960894	110025828	USP30
chr1	150764273	151800191	PI4KB
chr2	127738388	128784065	IWS1
chr7	43122707	44166978	STK17A
chr22	18920068	19923598	MRPL40
chr6	31014628	32026606	NFKBIL1
chr9	36938099	37965447	ZBTB5
chr5	9725619	10750000	ATPSCKMT
chr8	22645605	23653792	R3HCC1
chr5	138202885	139218986	SLC23A1
chr1	1067552	2070030	MMP23B
chr14	64972819	66069413	MAX
chr5	64722403	65878374	ERBIN
chr11	144220	1207083	DEAF1
chr11	8204339	9211419	RPL27A
chr10	12642082	13680308	OPTN
chr7	158023688	159122200	ESYT2
chr19	5181038	6188533	HSD11B1L
chr19	18530524	19539439	DDX49
chr17	34941927	36266927	ACACA
chr6	27334570	28335366	H1-5
chr2	24950743	26065459	DNMT3A
chr17	6643327	7645768	GABARAP
chr5	79422045	80450802	DHFR
chr6	116502374	117563030	KPNA5
chr1	743977	1747057	PUSL1
chr3	51732099	52748343	ALAS1
chr9	36922693	37936987	GRHPR
chr19	18182534	19188360	UBA52
chr22	27815364	28898667	TTC28-AS1
chr19	10756169	11766458	SPC24
chr10	70663659	71676674	TACR2
chr5	35356993	36379705	IL7R
chr15	79635889	80689627	MTHFS
chr19	38905906	39921403	SARS2
chr4	39925297	41132611	RBM47
chr6	83277390	84381069	DOP1A
chr10	50142927	51247584	ERCC6
chr10	602325	1678312	WDR37
chr12	87929313	88943937	C12orf29
chr19	55102286	56129005	PPP1R12C
chr7	89476030	90520767	GTPBP10
chr9	3324127	4800068	GLIS3
chr6	136077765	137110984	BCLAF1
chr3	182705339	183773494	KLHL6
chr2	201547864	202594129	CASP10
chr5	73423234	74436553	ENC1
chr7	102437882	103455133	PMPCB
chr14	54363725	55386936	CDKN3
chr4	123344233	124740588	SPATA5
chr1	173590776	174628425	RABGAP1L-DT
chr1	25257388	26326700	MACO1
chr3	57977823	58988087	KCTD6
chr6	30155826	31159197	NRM
chr15	99767606	100773649	LYSMD4
chr1	2017962	3022907	PRXL2B
chr4	3888259	4920785	NSG1
chr17	77575380	78593680	GAA
chr20	5486584	6520699	CRLS1
chr17	73394725	74400965	MRPL38
chr2	130600470	131605540	IMP4
chr12	110586491	111627582	HVCN1
chr6	29755174	30794933	HCG18
chr1	173184120	174255830	KLHL20
chr2	138759340	139831117	SPOPL
chr12	115896381	117215498	MED13L
chr7	55619458	56631682	CCT6A
chr7	149882794	150890729	GIMAP2
chr1	85694916	87122667	COL24A1
chr1	247079475	248112119	NLRP3
chr17	79493734	80495573	DCXR
chr11	75026255	76355276	UVRAG
chr1	182941634	184023326	SMG7
chr17	72358619	73369119	FDXR
chr1	113936816	114947650	AP4B1
chr20	56464285	57526157	VAPB
chr11	116575053	117602789	PCSK7
chr16	30713206	31714773	PYCARD-AS1
chr7	43466035	44495735	UBE2D4
chr13	45492297	46494506	SLC25A30-AS1
chr9	130465658	131517523	DNM1
chr7	120090831	121117270	ING3
chr7	5438364	6466181	CCZ1
chr1	109133386	110139556	TMEM167B
chr4	109851119	110854973	SEC24B-AS1
chr22	44564631	45633561	PRR5
chr3	182233006	183317375	MCCC1
chr13	21214258	22223236	SAP18
chr2	26069011	27118753	SELENOI
chr13	75357639	76556305	TBC1D4
chr6	2500128	3519989	NQO2
chr8	87026664	88073726	CPNE3
chr12	123273656	124349394	SBNO1
chr1	17134692	18190499	PADI4
chr9	130323512	131329599	NAIF1
chr12	133062953	134103688	ZNF26
chr15	22333499	23390043	TUBGCP5
chr3	95836030	96837067	MTRNR2L12
chr9	25176967	26178442	TUSC1
chr3	70503859	72133129	FOXP1
chr22	37554730	38562939	PDXP
chr19	43510871	44531353	ETHE1
chr7	23137001	24184327	CCDC126
chr11	46264598	47367831	CKAP5
chr19	40757108	41771294	SNRPA
chr2	86330516	87351000	RNF103
chr11	67974908	69018988	TESMIN
chr2	240999471	242004673	DUSP28
chr5	51891509	52905587	MOCS2
chr11	33380122	34413623	LMO2
chr13	43097722	44188349	DNAJC15
chr19	45690712	46695574	SNRPD2
chr8	103161012	104167953	KLF10
chr6	134781516	135875960	HBS1L
chr1	150872049	151874413	PSMB4
chr5	85413758	86416779	COX7C
chr1	219641942	220719847	EPRS1
chr16	15296992	16450885	MYH11
chr3	49626352	50656454	RBM5
chr10	64393088	65414784	NRBF2
chr15	38280304	39357015	RASGRP1
chr1	150671028	151722007	PIP5K1A
chr16	28390278	29391242	ATP2A1-AS1
chr2	215174953	216328329	SNHG31
chr5	78408264	79484069	TENT2
chr11	12909555	13984769	BTBD10
chr2	218746996	219761617	SLC11A1
chr11	125571991	126581545	RPUSD4
chr4	157181606	158392951	PDGFC
chr12	113123526	114130173	RITA1
chr16	67468409	68470753	PSMB10
chr3	46521156	47551191	NBEAL2
chr1	201800785	202811064	UBE2T
chr7	37223369	38283437	GPR141
chr2	171790736	172841562	DCAF17
chr22	31000763	32003554	SELENOM
chr7	25729547	26740366	HNRNPA2B1
chr1	117906107	118972244	GDAP2
chr17	12192815	13394960	ARHGAP44
chr5	153820633	154848971	MRPL22
chr1	159324106	160332447	VSIG8
chr1	225465528	226478166	SRP9
chr3	12098586	13125212	MKRN2
chr14	23939083	24975617	DHRS4L2
chr1	35234310	36387659	ZMYM4
chr17	73323306	74340485	UNC13D
chr10	13185706	14872923	FRMD4A
chr2	11317670	12467535	LPIN1
chr8	102716729	103751189	RRM2B
chr1	159387901	160395297	TAGLN2
chr12	6148127	7165208	IFFO1
chr1	153131130	154134328	SNAPIN
chr19	49853962	50863999	PTOV1
chr17	73638555	74736574	RNF157
chr19	19476639	20505483	ZNF253
chr14	49948387	50974238	LINC01588
chr9	130170165	131179320	ST6GALNAC4
chr2	9063783	10113230	CPSF3
chr12	130856611	131862223	RAN
chr5	97689689	98764711	CHD1
chr4	24814396	25872005	ZCCHC4
chr6	130956607	132104672	AKAP7
chr11	128056430	129183162	FLI1
chr16	14427578	15490014	NOMO1
chr2	9224096	10271126	YWHAQ
chr15	24568784	25723870	SNRPN
chr22	41818036	42822810	TNFRSF13C
chr6	8152442	9154079	HULC
chr20	45630631	46785616	NCOA3
chr10	101795700	102819755	HIF1AN
chr1	184765520	185786375	IVNS1ABP
chr4	150499597	151678590	DCLK2
chr19	12533293	13544525	FARSA
chr3	121958846	123012678	HSPBAP1
chr20	33016235	34043830	GSS
chr2	241545514	242589637	PASK
chr4	52957126	54025468	USP46
chr1	204611633	205680830	DSTYK
chr19	58363336	59366549	A1BG-AS1
chr19	2011217	3202692	GNG7
chr1	1752692	2822993	MORN1
chr21	45273504	46362527	TRPM2
chr11	42880470	44016481	TTC17
chr16	30725440	31742858	TRIM72
chr21	34196700	35232170	IFNAR1
chr8	80443317	81583799	TPD52
chr14	52606633	53662276	ERO1A
chr6	115922016	117070660	NT5DC1
chr20	43014346	44037173	YWHAB
chr16	139357	1179268	RAB40C
chr11	118492290	119506769	HINFP
chr7	111902432	112930448	TMEM168
chr7	19674278	20757007	MACC1
chr1	161177019	162184142	FCRLA
chr17	46152869	47155712	HOXB4
chr9	95838866	96941869	PHF2
chr14	74870654	75889963	RPS6KL1
chr10	125946403	126980456	EEF1AKMT2
chr6	142123144	143267398	ADGRG6
chr2	238469642	239508054	SCLY
chr8	144702919	145816829	MROH1
chr4	4516313	5521185	CYTL1
chr19	327837	1332018	AZU1
chr12	55614177	56618489	RDH5
chr3	44166528	45189963	ZNF197
chr6	11037982	12083757	TMEM170B
chr1	111798523	112810622	DDX20
chr7	43584301	44609055	DBNL
chr17	1433406	2447192	DPH1
chr3	46769488	47824289	KIF9
chr2	172828990	173830750	ITGA6-AS1
chr21	44709458	45725174	RRP1
chr11	117915258	118936646	IFT46
chr3	128649790	129658791	MBD4
chr17	17731187	18766864	SHMT1
chr11	63242092	64244015	COX8A
chr12	19092426	20175161	AEBP2
chr10	14637384	15639318	RPP38-DT
chr8	144653540	145658676	SHARPIN
chr3	149764574	150803803	EIF2A
chr6	110779909	111789075	GTF3C6
chr15	76140245	77697681	SCAPER
